mu,xi,sigma,q005,q095
93.324,-0.24908,8.8514,89.1,93.432
93.324,-0.24121,8.8624,88.994,93.417
93.324,-0.23334,8.8733,88.887,93.404
93.324,-0.22547,8.8843,88.776,93.392
93.324,-0.2176,8.8952,88.663,93.381
93.324,-0.20973,8.906,88.547,93.371
93.324,-0.20186,8.9169,88.428,93.362
93.324,-0.19399,8.9277,88.306,93.355
93.324,-0.18612,8.9385,88.181,93.348
93.324,-0.17824,8.9493,88.053,93.343
93.324,-0.17037,8.96,87.922,93.338
93.324,-0.1625,8.9708,87.787,93.334
93.324,-0.15463,8.9815,87.65,93.331
93.324,-0.14676,8.9922,87.509,93.329
93.324,-0.13889,9.0028,87.364,93.327
93.324,-0.13102,9.0135,87.216,93.326
93.324,-0.12315,9.0241,87.064,93.325
93.324,-0.11528,9.0347,86.908,93.324
93.324,-0.10741,9.0452,86.749,93.324
93.324,-0.099535,9.0558,86.586,93.324
93.324,-0.091665,9.0663,86.418,93.324
93.324,-0.083794,9.0768,86.247,93.324
93.324,-0.075923,9.0873,86.071,93.324
93.324,-0.068052,9.0978,85.891,93.324
93.324,-0.060181,9.1082,85.706,93.324
93.444,-0.8394,8.0208,92.782,95.615
93.444,-0.83153,8.0333,92.765,95.592
93.444,-0.82366,8.0458,92.748,95.568
93.444,-0.81579,8.0583,92.73,95.544
93.444,-0.80792,8.0708,92.712,95.52
93.444,-0.80005,8.0832,92.694,95.496
93.444,-0.79217,8.0957,92.675,95.471
93.444,-0.7843,8.1081,92.655,95.446
93.444,-0.77643,8.1204,92.635,95.421
93.444,-0.76856,8.1328,92.615,95.395
93.444,-0.76069,8.1451,92.594,95.37
93.444,-0.75282,8.1574,92.573,95.344
93.444,-0.74495,8.1697,92.551,95.318
93.444,-0.73708,8.182,92.528,95.291
93.444,-0.72921,8.1942,92.505,95.264
93.444,-0.72134,8.2064,92.481,95.237
93.444,-0.71347,8.2186,92.457,95.21
93.444,-0.70559,8.2308,92.432,95.183
93.444,-0.69772,8.2429,92.407,95.155
