mu,sigma,xi
106.6037149,13.99049882,-1.416385306
106.6073683,14.46545169,-1.216433657
105.8080273,13.44972634,-1.090651465
107.2397218,14.1356865,-1.205253191
113.0137622,12.49488294,-1.853092013
110.9550114,13.40903628,-2.052774396
108.5424891,12.80640222,-1.614514017
106.6687508,13.49778476,-1.574635179
109.9511074,13.19827848,-4.489473695
107.4414362,12.59188238,-1.122642911
113.462218,16.89768936,-2.124646078
106.2146693,13.45936085,-2.119513756
104.9054701,12.6301342,-1.314743907
106.1854649,13.68126802,-1.134231119
105.1732483,12.44335454,-1.175366828
104.5138279,12.2101714,-1.292894445
106.522307,14.61650435,-1.542763275
106.8756102,13.65487283,-1.460283343
109.6012317,14.570998,-1.505504036
106.6188994,14.20798332,-1.431193441
107.7579371,14.00355576,-3.031572619
106.2477316,13.5040276,-1.349433956
104.4816532,13.36937562,-3.479447184
106.9776674,13.1109305,-2.906167607
106.9854289,15.05514974,-1.554543005
111.8971654,11.36326363,-1.595957464
109.5928214,16.16871007,-1.893968149
107.7657335,13.20950635,-1.29692691
108.984273,14.15789045,-1.755564153
104.870882,12.85317471,-2.503055375
109.2499602,13.64423133,-3.372475748
103.5818483,8.417319696,-1.768832365
110.2471453,4.745343443,-1.508115132
110.8639299,16.99625783,-2.158829192
110.5380392,14.10293046,-1.526048463
108.1051919,13.86359597,-1.620354273
105.8561861,12.7224209,-1.290180874
109.5276921,15.56638206,-1.624124416
108.9629765,13.63973081,-1.380679602
107.3457994,13.80666129,-1.486120451
114.2910284,12.69551546,-2.000659389
103.6406157,12.88159937,-1.019913464
115.5932345,19.02846378,-2.439714461
111.2995066,12.4322165,-1.58281777
106.2395817,13.41032857,-1.081976678
106.1918939,13.34938937,-2.456935346
